Designator,Val,Package,Mid x,Mid y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,40.231087,49.121087,225,bottom
C2,0.1uF,C_0805_2012Metric,42.1005,42.926,135,bottom
C3,0.1uF,C_0805_2012Metric,54.7624,55.2196,180,bottom
C4,22p,C_0805_2012Metric,62.3316,52.6819,270,bottom
C5,22p,C_0805_2012Metric,59.0573,55.3974,180,bottom
C6,10uF,C_0805_2012Metric,43.080913,59.527413,0,bottom
C7,1uF,C_0805_2012Metric,43.9905,52.832,0,bottom
C8,0.1uF,C_0805_2012Metric,60.5155,41.9735,45,bottom
D1,D_Small,D_SOD-123,-19,88.6,270,bottom
D2,D_Small,D_SOD-123,-18.784,51.308,270,bottom
D3,D_Small,D_SOD-123,-18.784,56.514,90,bottom
D4,D_Small,D_SOD-123,-16.244,12.7,270,bottom
D5,D_Small,D_SOD-123,-18.784,16.89,90,bottom
D6,D_Small,D_SOD-123,0.1,87,270,bottom
D7,D_Small,D_SOD-123,0.012,70.23,270,bottom
D8,D_Small,D_SOD-123,0.012,51.308,270,bottom
D9,D_Small,D_SOD-123,0.115775,33.443471,270,bottom
D10,D_Small,D_SOD-123,38.366,15.748,270,bottom
D11,D_Small,D_SOD-123,18.79236,88.7,270,bottom
D12,D_Small,D_SOD-123,18.808,68.706,270,bottom
D13,D_Small,D_SOD-123,18.808,53.214,270,bottom
D14,D_Small,D_SOD-123,19.316,34.544,270,bottom
D15,D_Small,D_SOD-123,19.30031,13.826862,270,bottom
D16,D_Small,D_SOD-123,38.112,87.1,270,bottom
D17,D_Small,D_SOD-123,37.846111,70.081002,270,bottom
D18,D_Small,D_SOD-123,31.8,51.35,270,bottom
D19,D_Small,D_SOD-123,38.112,33.402,270,bottom
D20,D_Small,D_SOD-123,1.536,15.748,270,bottom
D21,D_Small,D_SOD-123,66.4,88.5,270,bottom
D22,D_Small,D_SOD-123,71.12,68.706,270,bottom
D23,D_Small,D_SOD-123,73.622053,53.149894,270,bottom
D24,D_Small,D_SOD-123,78.212251,34.588443,270,bottom
D25,D_Small,D_SOD-123,56.896,13.842,270,bottom
D26,D_Small,D_SOD-123,86,86.5,270,bottom
D27,D_Small,D_SOD-123,94.996,70.104,270,bottom
D28,D_Small,D_SOD-123,99.800714,51.260479,270,bottom
D29,D_Small,D_SOD-123,109.22,33.654,270,bottom
D30,D_Small,D_SOD-123,96.52,13.716,270,bottom
D31,D_Small,D_SOD-123,104.666244,88.5,270,bottom
D32,D_Small,D_SOD-123,114.094404,68.689064,270,bottom
D33,D_Small,D_SOD-123,118.650577,53.255173,270,bottom
D34,D_Small,D_SOD-123,128.016,34.67,270,bottom
D35,D_Small,D_SOD-123,119.38,11.302,270,bottom
D36,D_Small,D_SOD-123,123.9,86.9,270,bottom
D37,D_Small,D_SOD-123,133.096,70.104,270,bottom
D38,D_Small,D_SOD-123,137.956227,51.2686,270,bottom
D39,D_Small,D_SOD-123,147.32,33.654,270,bottom
D40,D_Small,D_SOD-123,142.8,88.5,270,bottom
D41,D_Small,D_SOD-123,152.4,68.706,270,bottom
D42,D_Small,D_SOD-123,156.407152,53.23005,270,bottom
D43,D_Small,D_SOD-123,166.116,34.67,270,bottom
